Source:,/Users/naomi_12/Desktop/Research/Mux64_Testboard/Mux64.kicad_sch,,,,,,,,,
Date:,"Tuesday, June 27, 2023 at 11:06:48 AM",,,,,,,,,
Tool:,Eeschema (6.0.11-0),,,,,,,,,
Generator:,/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py,,,,,,,,,
Component Count:,125,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Collated Components:,,,,,,,,,,
,,,,,,,,,,
Qty per Board,Qty to Order,Reference(s),Value,LibPart,Footprint,Datasheet,MANUFACTURER,Indiv. Price,Group Price,Link to Buy Part
9,50,"C1, C3, C5, C6, C8, C9, C10, C11, C12",0.1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,https://www.digikey.com/en/products/detail/kemet/C0805C104J5RAC7025/12701481?utm_adgroup=General&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Zombie%20SKUs&utm_term=&utm_content=General&gclid=CjwKCAjwkeqkBhAnEiwA5U-uM79wlHYKuuPejk9jJhnQQNh7SLgp4OVj5sssFuprHXREL_4FerAOmxoCeKoQAvD_BwE,KEMET,0.0764,3.82,https://www.digikey.com/en/products/detail/kemet/C0805C104J5RAC7025/12701481?utm_adgroup=General&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Zombie%20SKUs&utm_term=&utm_content=General&gclid=CjwKCAjwkeqkBhAnEiwA5U-uM79wlHYKuuPejk9jJhnQQNh7SLgp4OVj5sssFuprHXREL_4FerAOmxoCeKoQAvD_BwE
2,50,"C2, C4",10uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0805C106K8PACTU,KEMET,0.0584,2.92,https://www.digikey.com/en/products/detail/kemet/C0805C106K8PAC7800/1090920?utm_adgroup=General&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Zombie%20SKUs&utm_term=&utm_content=General&gclid=CjwKCAjwkeqkBhAnEiwA5U-uM2PCFsROXS8MGKscyHDkUfgpw-CmM2xFuNdowx5catdjCp9cIb3bLxoC11gQAvD_BwE
1,10,C7,47uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,https://www.mouser.com/datasheet/2/281/1/GRM21BC80G476ME15_08A-1986870.pdf,Murata,0.216,2.16,https://www.mouser.com/ProductDetail/81-GRM21BC80G476ME5L
4,~,"H1, H2, H3, H4",MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_2.5mm,~,~,~,,~
6,40,"J1, J2, J3, J4, J5, J6",QTE-020-01-X-D-A,QTE-020-01-X-D-A:QTE-020-01-X-D-A,QTE-020-01-X-D-A:SAMTEC_QTE-020-01-X-D-A,http://suddendocs.samtec.com/prints/qte-xxx-xx-xxx-d-xxx-footprint.pdf,Samtec,9.15375,366.15,https://www.digikey.com/en/products/detail/samtec-inc/QTE-020-01-L-D-A/1107007
4,24,"J7, J8, J9, J10",Conn_01x24,Connector_Generic:Conn_01x24,Connector_PinSocket_2.54mm:PinSocket_2x12_P2.54mm_Vertical,https://media.digikey.com/pdf/Data%20Sheets/Sullins%20PDFs/Female_Headers.100_DS.pdf,Sullins Connector Solutions,1.269,30.46,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPTC122LFBN-RC/810218
6,40,"J11, J13, J14, J16, J17, J18",Screw_Terminal_01x12,Connector:Screw_Terminal_01x12,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-12-2.54_1x12_P2.54mm_Horizontal",https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-mpt-0512-254-1725753?type=pdf,Phoenix Contact,9.77,390.8,https://www.mouser.com/ProductDetail/651-1725753
1,8,J12,Screw_Terminal_01x06,Connector:Screw_Terminal_01x06,TerminalBlock_RND:TerminalBlock_RND_205-00071_1x06_P7.50mm_Horizontal,https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-pt-25-6-75-h-1988147?type=pdf,Phoenix Contact,4.96,39.68,https://www.mouser.com/ProductDetail/651-1988147
3,20,"R1, R2, R3",10Kohm,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,YAGEO,0.025,0.5,https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535
5,100,"R4, R5, R6, R7, R23",1Kohm,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,YAGEO,0.0127,1.27,https://www.digikey.com/en/products/detail/yageo/RC0805FR-101KL/13694478?utm_adgroup=Yageo&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Supplier_Yageo&utm_term=&utm_content=Yageo&gclid=CjwKCAjwkeqkBhAnEiwA5U-uM62Q_gJQy7wxzeEbufAaCNhLUu15LSOuxc2yXo-YYNWn4ZVTCpU1CBoCDVcQAvD_BwE
